SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL,MATCHUP_TIME_SEC,MATCHUP_MIN_NUM
22025,1628970,Miles Bridges,1627783,Pascal Siakam,3,21:40,103.7,27,110,2,2,0,11,20,0.55,5,9,0.556,0,0,0,0,0,0,0,1300.3,21.666666666666668
22025,1628969,Mikal Bridges,1627742,Brandon Ingram,5,22:08,103.6,11,114,5,1,0,5,13,0.385,1,5,0.2,0,0,0,0,0,0,0,1327.9,22.133333333333333
22025,1630178,Tyrese Maxey,1641710,Anthony Black,3,22:35,103.5,23,90,5,0,0,10,19,0.526,3,8,0.375,0,0,0,0,0,0,0,1354.7,22.583333333333332
22025,1629674,Neemias Queta,1626157,Karl-Anthony Towns,4,24:02,103.3,10,106,4,2,0,5,8,0.625,0,0,0.0,0,0,0,0,0,0,0,1441.8,24.033333333333335
22025,1631095,Jabari Smith Jr.,201942,DeMar DeRozan,4,22:59,103.2,9,105,1,1,0,4,14,0.286,1,7,0.143,0,0,0,0,0,0,0,1379.1,22.983333333333334
22025,203999,Nikola Jokić,203497,Rudy Gobert,4,20:09,103.1,34,113,16,5,0,13,20,0.65,3,7,0.429,0,0,0,0,5,6,2,1209.3,20.15
22025,201572,Brook Lopez,203497,Rudy Gobert,4,21:39,103.1,16,101,2,3,1,5,13,0.385,4,9,0.444,0,0,0,0,2,2,1,1299.3,21.65
22025,1630162,Anthony Edwards,1641739,Toumani Camara,3,20:39,103.1,30,135,2,5,0,11,24,0.458,5,10,0.5,0,0,0,0,3,3,2,1238.7,20.65
22025,1630578,Alperen Sengun,1642875,Maxime Raynaud,4,21:15,103.1,37,99,8,4,1,17,27,0.63,0,3,0.0,0,0,0,0,3,5,3,1274.6,21.25
22025,1629651,Nic Claxton,202696,Nikola Vučević,4,20:48,102.9,21,108,11,2,1,10,15,0.667,0,0,0.0,0,0,0,0,1,3,2,1248.4,20.8
22025,1627759,Jaylen Brown,1626162,Kelly Oubre Jr.,4,22:47,102.3,19,98,11,7,0,8,17,0.471,1,4,0.25,0,0,0,0,2,3,2,1366.9,22.783333333333335
22025,1630595,Cade Cunningham,1630700,Dyson Daniels,3,21:02,102.2,20,100,9,4,0,9,24,0.375,0,3,0.0,0,0,0,0,2,2,1,1261.7,21.033333333333335
22025,1641718,Keyonte George,1642264,Stephon Castle,3,21:47,102.1,17,116,9,3,0,5,11,0.455,3,6,0.5,0,0,0,0,4,5,1,1306.9,21.783333333333335
22025,1630217,Desmond Bane,1629614,Andrew Nembhard,3,20:42,101.8,19,120,10,1,0,8,16,0.5,2,6,0.333,0,0,0,0,1,1,1,1242.3,20.7
22025,1642875,Maxime Raynaud,1630578,Alperen Sengun,4,20:24,101.2,19,129,5,2,2,9,19,0.474,1,1,1.0,0,0,0,0,0,0,0,1223.7,20.4
22025,1629029,Luka Dončić,1642377,Jaylen Wells,3,20:47,101.1,32,119,11,5,0,11,20,0.55,3,9,0.333,0,0,0,0,7,10,5,1247.0,20.783333333333335
22025,1631260,AJ Green,1630241,Sam Merrill,4,20:15,100.3,15,117,2,3,0,4,6,0.667,4,6,0.667,0,0,0,0,3,3,1,1215.0,20.25
22025,1627750,Jamal Murray,1641708,Amen Thompson,4,20:39,100.2,14,96,11,2,0,4,10,0.4,2,4,0.5,0,0,0,0,4,4,1,1239.0,20.65
22025,1630193,Immanuel Quickley,1631157,Ryan Rollins,4,20:27,99.5,35,120,8,2,0,12,23,0.522,6,11,0.545,0,0,0,0,5,5,3,1227.3,20.45
22025,1630183,Jaden McDaniels,201942,DeMar DeRozan,4,20:06,99.5,15,125,3,4,0,6,11,0.545,1,3,0.333,0,0,0,0,2,2,0,1205.7,20.1
22025,203497,Rudy Gobert,1628392,Isaiah Hartenstein,4,20:14,99.0,8,99,3,2,2,3,8,0.375,0,0,0.0,0,0,0,0,2,2,1,1214.3,20.233333333333334
22025,1628392,Isaiah Hartenstein,203497,Rudy Gobert,4,20:44,98.9,10,98,4,1,1,5,12,0.417,0,0,0.0,0,0,0,0,0,1,1,1244.1,20.733333333333334
22025,203497,Rudy Gobert,1629028,Deandre Ayton,3,20:08,98.9,4,116,6,2,0,1,2,0.5,0,0,0.0,0,0,0,0,2,4,2,1208.1,20.133333333333333
22025,1629008,Michael Porter Jr.,203952,Andrew Wiggins,3,20:01,98.8,21,89,4,2,1,7,25,0.28,5,15,0.333,0,0,0,0,2,3,2,1201.3,20.016666666666666
22025,1626157,Karl-Anthony Towns,1630567,Scottie Barnes,5,21:55,98.8,19,112,5,4,2,8,20,0.4,1,6,0.167,0,0,0,0,2,4,2,1314.7,21.916666666666668
22025,1630579,Jericho Sims,1631105,Jalen Duren,4,22:48,98.5,16,127,6,1,1,7,9,0.778,0,0,0.0,0,0,0,0,2,3,2,1368.3,22.8
22025,201572,Brook Lopez,1642270,Donovan Clingan,4,20:38,97.9,29,101,4,4,1,10,28,0.357,5,20,0.25,0,0,0,0,4,4,2,1237.8,20.633333333333333
22025,1629028,Deandre Ayton,203497,Rudy Gobert,3,21:27,97.7,22,103,4,2,0,11,14,0.786,0,0,0.0,0,0,0,0,0,0,0,1287.5,21.45
22025,1642270,Donovan Clingan,1628436,Luke Kornet,3,21:45,97.5,26,91,5,0,0,10,17,0.588,4,5,0.8,0,0,0,0,2,2,1,1304.5,21.75
22025,1628973,Jalen Brunson,1630591,Jalen Suggs,4,20:01,97.4,45,113,5,1,1,17,29,0.586,2,7,0.286,0,0,0,0,9,9,6,1201.4,20.016666666666666
22025,1641708,Amen Thompson,1628978,Donte DiVincenzo,3,21:06,95.7,18,92,4,1,2,9,13,0.692,0,1,0.0,0,0,0,0,0,0,0,1265.8,21.1
22025,201142,Kevin Durant,1629023,P.J. Washington,4,21:12,94.1,30,91,2,2,1,13,26,0.5,1,4,0.25,0,0,0,0,3,3,1,1272.4,21.2
22025,1626157,Karl-Anthony Towns,1629651,Nic Claxton,4,21:06,94.0,39,101,5,3,3,12,28,0.429,5,7,0.714,0,0,0,0,10,10,5,1265.6,21.1
22025,1630162,Anthony Edwards,1642377,Jaylen Wells,3,20:11,93.5,27,111,3,3,0,8,19,0.421,1,7,0.143,0,0,0,0,10,12,6,1211.0,20.183333333333334
22025,1630578,Alperen Sengun,203999,Nikola Jokić,4,22:13,92.0,28,95,11,6,0,13,30,0.433,0,2,0.0,0,0,0,0,2,2,1,1333.2,22.216666666666665
22025,1642851,Kon Knueppel,1629638,Nickeil Alexander-Walker,4,21:17,89.0,18,83,5,2,1,5,15,0.333,3,8,0.375,0,0,0,0,5,5,2,1277.2,21.283333333333335
22025,1631217,Moussa Diabaté,1630643,Jay Huff,3,20:36,87.2,14,96,4,1,2,4,11,0.364,0,0,0.0,0,0,0,0,6,7,1,1235.8,20.6
22025,1641750,Ryan Kalkbrenner,1628386,Jarrett Allen,3,20:43,86.5,14,109,0,2,1,7,11,0.636,0,0,0.0,0,0,0,0,0,0,0,1242.9,20.716666666666665
22025,1628401,Derrick White,1642845,VJ Edgecombe,4,20:39,83.1,10,71,7,2,0,3,15,0.2,2,8,0.25,0,0,0,0,2,2,1,1239.4,20.65
